id;text;createTime;authorMeta.id;authorMeta.secUid;authorMeta.name;authorMeta.nickName;authorMeta.verified;authorMeta.signature;authorMeta.avatar;musicMeta.musicId;musicMeta.musicName;musicMeta.musicAuthor;musicMeta.musicOriginal;musicMeta.playUrl;musicMeta.coverThumb;musicMeta.coverMedium;musicMeta.coverLarge;covers.default;covers.origin;covers.dynamic;webVideoUrl;videoUrl;videoUrlNoWaterMark;videoMeta.height;videoMeta.width;videoMeta.duration;diggCount;shareCount;playCount;commentCount;downloaded;mentions;hashtags
6,86246E+18;Le enseñe a mi mamá a poner música en YouTube, pero se me olvidó decirle que salen comerciales. 😂 #marioaguilar #comedia;1597790661;8121372;MS4wLjABAAAAu1ff55FEAB_Kc0wjDZEUmoRAzBdPrnmVInTbcZdvJAI;marioaguilar;Mario Aguilar;true;Mi vida es una comedia. 🤪;;;;;;;;;;;;;;;;;;;;;;;;;
"Escríbeme por Instagram: @marioaguilarmg""";https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_1080x1080.jpeg;6,85997E+18;sonido original;emiliosalazar02;true;https://p16-va-tiktok.ibyteimg.com/obj/musically-maliva-obj/6859971408777284358.mp3;https://p16-amd-va.tiktokcdn.com/img/tos-maliva-avt-0068/1285fe89e883c03bde6966afffcf5950~c5_100x100.jpeg;https://p16-amd-va.tiktokcdn.com/img/tos-maliva-avt-0068/1285fe89e883c03bde6966afffcf5950~c5_720x720.jpeg;https://p16-amd-va.tiktokcdn.com/img/tos-maliva-avt-0068/1285fe89e883c03bde6966afffcf5950~c5_1080x1080.jpeg;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/184894b782dc4a8f9ac8acff01d3f963_1597790663?x-expires=1597960800&x-signature=ST7w8yWZZg3piqNPAByqXi3wYRQ%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/116f530f8d9749c39a64bf4d11198123_1597790663?x-expires=1597960800&x-signature=glpRHbx02fVO%2FHD5dNP929HRKx4%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/63c1745dbe844ef08e147f03b17425a4_1597790664?x-expires=1597960800&x-signature=Q%2BtSN2fGwknQhYczgYbo3kZGgCg%3D;https://www.tiktok.com/@marioaguilar/video/6862458613537967365;https://v16m.tiktokcdn.com/a887c311b7db202e130ec102cf60780c/5f3efffa/video/tos/useast2a/tos-useast2a-pve-0068/443c278582de4da386d4e17bf1e9eac6/?a=1233&br=4768&bt=2384&cr=0&cs=0&dr=0&ds=3&er=&l=20200818225802010189073137565D03BA&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=ank1cDlxOGo4djMzaDczM0ApPDQ8ZzZlaWQ0NzY8OWc3aGcvMl8tMW8xZ3JfLS0tMTZzcy4uXzQ0YS0zLjVgXzEvMmE6Yw%3D%3D&vl=&vr=;;960;540;15;3831;31;14000;162;false;[];"[{""id"":""9699600"",""name"":""marioaguilar"",""title"":"""",""cover"":""""},{""id"":""143516"",""name"":""comedia"",""title"":""¡Mira los mejores videos de comedia!"",""cover"":""""}]";;;;;;;;
6,86239E+18;Chuladas, reté a la Morena al #PBJChallengeMX adivinen quién fue el ganador. ¿A quién retarías tú en este #Challenge?;1597775727;8121372;MS4wLjABAAAAu1ff55FEAB_Kc0wjDZEUmoRAzBdPrnmVInTbcZdvJAI;marioaguilar;Mario Aguilar;true;Mi vida es una comedia. 🤪;;;;;;;;;;;;;;;;;;;;;;;;;
"Escríbeme por Instagram: @marioaguilarmg""";https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_1080x1080.jpeg;6,76752E+18;Il Buono il Brutto il Cattivo - Ringtone (Original Score) Version 2;Ennio Morricone;false;https://sf-tk-sg.ibytedtos.com/obj/tiktok-obj/e3d07ee30442ff9afb5a09a5f94dce92.m4a;https://p16.tiktokcdn.com/aweme/100x100/tos-alisg-i-0000/5e1f76e3798e41c1b606db7d187741de.jpeg;https://p16.tiktokcdn.com/aweme/200x200/tos-alisg-i-0000/5e1f76e3798e41c1b606db7d187741de.jpeg;https://p16.tiktokcdn.com/aweme/720x720/tos-alisg-i-0000/5e1f76e3798e41c1b606db7d187741de.jpeg;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/89a401e0463b45069823b1156aa97fbc?x-expires=1597960800&x-signature=Ldlonwp8VdM3aR%2Bvt5VQIZrmH5o%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/43f2b2ec9ad048c49e8e47884381d846_1597775729?x-expires=1597960800&x-signature=PLAmd%2Brn7S2TedIUTgvJqyEBVx8%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/87f5c4ea688e4a64b53ecc7e188d4ece_1597775729?x-expires=1597960800&x-signature=mjhwPDv5VvTrC88HbC%2Fmxy%2B%2Fwlg%3D;https://www.tiktok.com/@marioaguilar/video/6862394476061658374;https://v16m.tiktokcdn.com/c5bf2a63e25fed215f7e78ec2d7fef7d/5f3efffa/video/tos/useast2a/tos-useast2a-pve-0068/d7c690842af54ea0a2a133ad1cd22519/?a=1233&br=2676&bt=1338&cr=0&cs=0&dr=0&ds=3&er=&l=20200818225802010189073137565D03BA&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M21tZm5sbnQ0djMzNDczM0ApOTk0ZGk4NTs3N2ZnNzg2OGdlZ3JyLl5ucnJfLS0wMTZzc2JfL2EyYF8yLi1gLWNhYGM6Yw%3D%3D&vl=&vr=;;960;540;15;38200;20;143300;168;false;[];"[{""id"":""1674668178509829"",""name"":""pbjchallengemx"",""title"":"""",""cover"":""""},{""id"":""1592382694498310"",""name"":""challenge?"",""title"":"""",""cover"":""""}]";;;;;;;;
6,86214E+18;@fontesjo 🕺🏼 #marioaguilar #comedia;1597715385;8121372;MS4wLjABAAAAu1ff55FEAB_Kc0wjDZEUmoRAzBdPrnmVInTbcZdvJAI;marioaguilar;Mario Aguilar;true;Mi vida es una comedia. 🤪;;;;;;;;;;;;;;;;;;;;;;;;;
"Escríbeme por Instagram: @marioaguilarmg""";https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_1080x1080.jpeg;6,83616E+18;Tampa Curhat Beat;TampaCurhat;true;https://sf-tk-sg.ibytedtos.com/obj/tiktok-obj/6836159856400009985.mp3;https://p16.tiktokcdn.com/aweme/100x100/tiktok-obj/1664334688315394.jpeg;https://p16.tiktokcdn.com/aweme/720x720/tiktok-obj/1664334688315394.jpeg;https://p16.tiktokcdn.com/aweme/1080x1080/tiktok-obj/1664334688315394.jpeg;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/d103dadfe56f42e6b9b3c9940cbff4ee?x-expires=1597960800&x-signature=Xhg3yguWZknX4IMu%2Fstii8se3qQ%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/c27d62a8b0a042058405c97779e9a278_1597715387?x-expires=1597960800&x-signature=tXgO67MjZKv7kBtUItkM3XVN1eI%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/7f0dc8b413ef49a7b72c288000e92784_1597715387?x-expires=1597960800&x-signature=tDEiA516u03vucjTAfPzQJPrjA8%3D;https://www.tiktok.com/@marioaguilar/video/6862135296209734917;https://v16m.tiktokcdn.com/faf5e68643d3c397c2da82deb4b3c4fd/5f3efffa/video/tos/useast2a/tos-useast2a-ve-0068c002/e24ad4e04bac4bc69acfde233b69dcac/?a=1233&br=3110&bt=1555&cr=0&cs=0&dr=0&ds=3&er=&l=20200818225802010189073137565D03BA&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=amVkZm5sbmZtdjMzNDczM0ApOzc2PGVkZjw6NzY7ZjVmNWdtYHJyLl5mNHFfLS0wMTZzczAvNWA1Xi4uLjI1LjAtLS86Yw%3D%3D&vl=&vr=;;960;540;10;39600;51;221200;216;false;"[""@fontesjo""]";"[{""id"":""9699600"",""name"":""marioaguilar"",""title"":"""",""cover"":""""},{""id"":""143516"",""name"":""comedia"",""title"":""¡Mira los mejores videos de comedia!"",""cover"":""""}]";;;;;;;;
6,86212E+18;Mi reina 🎵 #marioaguilar #comedia #baile  hazlo y etiquétame ✨ estaré haciendo reacciones 💕;1597711517;8121372;MS4wLjABAAAAu1ff55FEAB_Kc0wjDZEUmoRAzBdPrnmVInTbcZdvJAI;marioaguilar;Mario Aguilar;true;Mi vida es una comedia. 🤪;;;;;;;;;;;;;;;;;;;;;;;;;
"Escríbeme por Instagram: @marioaguilarmg""";https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_1080x1080.jpeg;6,85766E+18;Mi Reina;Mario Aguilar;false;https://sf-tk-sg.ibytedtos.com/obj/tiktok-obj/2a827b746bb3722daff19837eb30f48d.m4a;https://p16.tiktokcdn.com/aweme/100x100/tos-alisg-i-0000/a6a226121e5649acb5dabdec53ef653b.jpeg;https://p16.tiktokcdn.com/aweme/200x200/tos-alisg-i-0000/a6a226121e5649acb5dabdec53ef653b.jpeg;https://p16.tiktokcdn.com/aweme/720x720/tos-alisg-i-0000/a6a226121e5649acb5dabdec53ef653b.jpeg;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/53d086c85c944035bcca42fcd7a78124?x-expires=1597960800&x-signature=JYlUnh5bn6t013CtMos2Fja3lUo%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/e4fa2efc462d47cfaff1f3e1e7aa2135_1597711518?x-expires=1597960800&x-signature=KBNqpreWbUZ%2B5PRcvcIn%2B%2B9uh74%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/4baba94bd5a449eb95ac64fcdabb9cc3_1597711519?x-expires=1597960800&x-signature=hXwr0%2BSkFwxOr4Ud%2BYGfNLWCpLQ%3D;https://www.tiktok.com/@marioaguilar/video/6862118685578890502;https://v16m.tiktokcdn.com/c7e3d071742993bc332df0ec6221a3aa/5f3efffa/video/tos/useast2a/tos-useast2a-ve-0068c003/b6353f9157464bf58f32565c0ce9c70b/?a=1233&br=3982&bt=1991&cr=0&cs=0&dr=0&ds=3&er=&l=20200818225802010189073137565D03BA&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=amRvcDlxODRsdjMzaDczM0ApZjczMzo0aGRlN2RnOzlnN2dwNF4tMW9wNnFfLS0tMTZzcy5fM2FhMzIuYmE0NC40YDM6Yw%3D%3D&vl=&vr=;;960;540;15;13800;15;94200;190;false;[];"[{""id"":""9699600"",""name"":""marioaguilar"",""title"":"""",""cover"":""""},{""id"":""143516"",""name"":""comedia"",""title"":""¡Mira los mejores videos de comedia!"",""cover"":""""},{""id"":""29677"",""name"":""baile"",""title"":"""",""cover"":""""}]";;;;;;;;
6,8621E+18;El baile más difícil del mundo. 😂 #comedia #marioaguilar #ladivaza;1597706458;8121372;MS4wLjABAAAAu1ff55FEAB_Kc0wjDZEUmoRAzBdPrnmVInTbcZdvJAI;marioaguilar;Mario Aguilar;true;Mi vida es una comedia. 🤪;;;;;;;;;;;;;;;;;;;;;;;;;
"Escríbeme por Instagram: @marioaguilarmg""";https://p16-amd-va.tiktokcdn.com/img/musically-maliva-obj/86af54b6c9d73b65ac0754983702069a~c5_1080x1080.jpeg;6,83003E+18;Suit & Tie (feat. JAY Z) - [Radio Edit];Justin Timberlake;false;https://sf-tk-sg.ibytedtos.com/obj/tiktok-obj/282a4685a7c05ae0992321803c66a943.mp3;https://p16.tiktokcdn.com/aweme/100x100/tos-alisg-i-0000/2733ec02147b4bb89bba853ea04912e1.jpeg;https://p16.tiktokcdn.com/aweme/200x200/tos-alisg-i-0000/2733ec02147b4bb89bba853ea04912e1.jpeg;https://p16.tiktokcdn.com/aweme/720x720/tos-alisg-i-0000/2733ec02147b4bb89bba853ea04912e1.jpeg;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/8b30d42485dc4727a5a9b24f57588128?x-expires=1597960800&x-signature=lFQuwI5NNvqSvnq97Z84warYdzk%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ca1766127ad7431e853d0be4fadeeb51_1597706460?x-expires=1597960800&x-signature=yrGxlcPG5wKW9PHQ87GegngvyWY%3D;https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/26b81a39d79c411f8012db60673bb713_1597706459?x-expires=1597960800&x-signature=FZx632fWoEnXhPV5QdVvpE2rhx8%3D;https://www.tiktok.com/@marioaguilar/video/6862096956328578310;https://v16m.tiktokcdn.com/d8d9dec8d74f3b7a17266d6d3bd5547c/5f3efffa/video/tos/useast2a/tos-useast2a-ve-0068c001/598d46bc0a344cac9bb8049a33aaac26/?a=1233&br=2656&bt=1328&cr=0&cs=0&dr=0&ds=3&er=&l=20200818225802010189073137565D03BA&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M3hyZ2VkOW9rdjMzNTczM0ApO2Y5NmhnaDs0NzQ0O2k7NmdqX2FgM2I0LnFfLS0vMTZzcy9gLWEyYy8xYjAuYF5gYmM6Yw%3D%3D&vl=&vr=;;960;540;9;46300;16;239000;236;false;[];"[{""id"":""143516"",""name"":""comedia"",""title"":""¡Mira los mejores videos de comedia!"",""cover"":""""},{""id"":""9699600"",""name"":""marioaguilar"",""title"":"""",""cover"":""""},{""id"":""7121944"",""name"":""ladivaza"",""title"":"""",""cover"":""""}]";;;;;;;;
